stage,group,n,accuracy,selection_rate,tpr,fpr
baseline,0,2905,0.9153184165232358,0.08709122203098106,0.5100864553314121,0.029710711493354185
baseline,1,6144,0.8074544270833334,0.24739583333333334,0.5884514435695538,0.09412597310686482
reweighing,0,2905,0.8337349397590361,0.2457831325301205,0.8328530259365994,0.16614542611415167
reweighing,1,6144,0.779296875,0.3566080729166667,0.7191601049868767,0.19367775418730832
oversampling,0,2905,0.9139414802065404,0.09328743545611015,0.5302593659942363,0.03401094605160281
oversampling,1,6144,0.8045247395833334,0.22819010416666666,0.552755905511811,0.0823307383816938
undersampling,0,2905,0.9156626506024096,0.08605851979345955,0.5072046109510087,0.028928850664581705
undersampling,1,6144,0.80712890625,0.24348958333333334,0.5816272965879266,0.0915310214673272
in_processing,0,2905,0.11944922547332186,1.0,1.0,1.0
in_processing,1,6144,0.31005859375,1.0,1.0,1.0
mitigated,0,2905,0.8657487091222031,0.19586919104991393,0.7579250720461095,0.11962470680218922
mitigated,1,6144,0.8035481770833334,0.19596354166666666,0.49921259842519683,0.05968388770936542
equalized_odds,0,2905,0.8984509466437177,0.019965576592082618,0.1585014409221902,0.0011727912431587178
equalized_odds,1,6144,0.7361653645833334,0.051432291666666664,0.15748031496062992,0.00377447511205473
